parameter,mean_current,sd_current,ci_low_current,ci_high_current,run,mean_baseline,sd_baseline,ci_low_baseline,ci_high_baseline,divergences,accepted,mean_shift_baseline_sd
mu.1,-2.170777792204953,0.2419605539236047,-2.70095628555,-1.7396955278,H5_train_age,-2.17326380689575,0.244112396070801,-2.70191905705,-1.740378886575,1,False,0.010183893693281367
mu.2,-1.427909929222592,0.15322470521855586,-1.737302847375,-1.1357154544499999,H5_train_age,-1.4300437565184485,0.1522568383867501,-1.7393493129750002,-1.13967098725,1,False,0.01401465653999893
mu.3,5.195818352786766,0.5956860922570757,4.088957339875,6.4182720548,H5_train_age,5.205741138385952,0.5953931449863706,4.103644410575,6.442114458074999,1,False,-0.016665938603329537
tau.1,0.46186336556518265,0.29221425791545425,0.025315466723000005,1.1032376077250001,H5_train_age,0.4598485730535582,0.2922516137784289,0.02465249772675,1.10810324855,1,False,0.006894033827823346
tau.2,1.262841326509114,0.11923640881250587,1.045522028325,1.51120007255,H5_train_age,1.2629914310016626,0.1191567358555388,1.0451987283500002,1.513499455675,1,False,-0.0012597230989145872
tau.3,3.7069477994578124,0.4132675528465704,2.94240201205,4.562853167575001,H5_train_age,3.7074775571440783,0.4123067006009947,2.9444076802000003,4.5585144659,1,False,-0.0012848631504017679
beta.1.1,0.03229766729101789,0.18808516392084354,-0.360676690255,0.3822683150375001,H5_train_age,0.0320695561348966,0.1902981867234901,-0.36504566489,0.3879341947475,1,False,0.0011987037819374813
beta.2.1,-0.12228487056641008,0.13031666637751432,-0.3787014583175,0.1338823176050001,H5_train_age,-0.122136512984664,0.1298613983823837,-0.3764420470075,0.133862152905,1,False,-0.0011424301878316685
beta.3.1,0.3741247830929701,0.3709772952946694,-0.3470343085325,1.1056361647500004,H5_train_age,0.3732867618675132,0.3730746945282562,-0.3570450861975,1.10909093415,1,False,0.0022462558778384976
Omega.1.1,1.0,0.0,1.0,1.0,H5_train_age,1.0,0.0,1.0,1.0,1,False,
Omega.2.1,-0.272432740834054,0.3292027439234315,-0.8036538611575,0.47839217165750003,H5_train_age,-0.2706271622735328,0.3338514251375423,-0.80641153157,0.4961683188475,1,False,-0.005408329647768737
Omega.3.1,0.08542527190939703,0.3461457504660969,-0.614065748535,0.7357044414600001,H5_train_age,0.0775534396185702,0.3414782186928867,-0.607778044045,0.7131083871625,1,False,0.02305222371417626
Omega.1.2,-0.272432740834054,0.3292027439234315,-0.8036538611575,0.47839217165750003,H5_train_age,-0.2706271622735328,0.3338514251375423,-0.80641153157,0.4961683188475,1,False,-0.005408329647768737
Omega.2.2,1.0,0.0,1.0,1.0,H5_train_age,1.0,0.0,1.0,1.0,1,False,
Omega.3.2,-0.5664616061734734,0.10572962296462514,-0.7532737848125,-0.340938137815,H5_train_age,-0.5680128222295482,0.1063616438120055,-0.7553636239675,-0.3413453345324999,1,False,0.014584355792926223
Omega.1.3,0.08542527190939703,0.3461457504660969,-0.614065748535,0.7357044414600001,H5_train_age,0.0775534396185702,0.3414782186928867,-0.607778044045,0.7131083871625,1,False,0.02305222371417626
Omega.2.3,-0.5664616061734734,0.10572962296462514,-0.7532737848125,-0.340938137815,H5_train_age,-0.5680128222295482,0.1063616438120055,-0.7553636239675,-0.3413453345324999,1,False,0.014584355792926223
Omega.3.3,1.0,0.0,1.0,1.0,H5_train_age,1.0,0.0,1.0,1.0,1,False,
