parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-1.85594,0.0064063,0.340752,0.336777,-2.4188,-1.85753,-1.29989,2849.28,5714.77,0.887189,1.00112,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
mu[2],-0.85163,0.00276745,0.138414,0.138483,-1.09228,-0.844393,-0.636765,2517.82,5963.03,0.78398,1.00059,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
mu[3],-2.81539,0.0100689,0.487702,0.485335,-3.61395,-2.81339,-2.01525,2354.63,5541.86,0.733166,1.0013,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
mu[4],1.62862,0.00143103,0.127897,0.126106,1.41991,1.62633,1.83942,8023.22,10141.7,2.49821,1.00041,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
tau[1],2.21651,0.00316144,0.309688,0.299819,1.74507,2.19222,2.76168,9529.96,11599.9,2.96737,1.00014,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
tau[2],0.756365,0.00206337,0.11288,0.112678,0.581568,0.750706,0.950815,3002.73,6176.88,0.934967,1.00063,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
tau[3],2.07615,0.00372347,0.341577,0.337945,1.55765,2.0515,2.67397,8531.61,11404.3,2.65651,1.00073,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
tau[4],1.15168,0.00137998,0.112599,0.110594,0.976236,1.14684,1.34488,6623.12,10140.9,2.06226,1.0005,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[1,1]",0.110252,0.00171834,0.148902,0.0690109,0.00210044,0.0559392,0.411045,8485.72,9237.06,2.64222,1.00056,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[1,2]",0.256095,0.00133904,0.144593,0.126078,0.0782722,0.227869,0.530073,10583.3,11198.8,3.29535,0.999897,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[1,3]",0.181148,0.00240056,0.215798,0.116603,0.00440405,0.0965795,0.694942,7293.52,10827.9,2.271,1.00011,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[1,4]",0.938908,0.00337969,0.523771,0.517406,0.0960363,0.92957,1.8236,23992.0,13132.9,7.47044,1.00034,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[2,1]",0.140935,0.00170881,0.164498,0.0972382,0.00387326,0.086007,0.490871,9886.77,10698.4,3.07847,1.00007,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[2,2]",0.271743,0.00128213,0.151473,0.135191,0.0835941,0.242368,0.557342,12284.4,11522.7,3.82503,1.00018,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[2,3]",0.127693,0.00190899,0.181105,0.0709041,0.00289754,0.0587114,0.540017,8552.14,9550.69,2.6629,1.00005,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[2,4]",1.73055,0.00380805,0.594605,0.591225,0.787287,1.71141,2.74521,24703.9,13527.4,7.69211,1.00015,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[3,1]",0.111691,0.00123542,0.103776,0.0738119,0.00741996,0.0868934,0.307563,6445.65,7038.13,2.007,1.00033,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[3,2]",0.496205,0.00318235,0.295666,0.262831,0.145412,0.428771,1.06872,7273.14,8863.5,2.26466,1.00046,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[3,3]",0.174422,0.0025933,0.193372,0.0894767,0.0155521,0.104032,0.633542,5913.29,8311.97,1.84124,1.00025,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[3,4]",3.3403,0.00436716,0.651857,0.643651,2.32027,3.30655,4.47337,22485.1,12535.3,7.00124,1.00008,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[4,1]",0.0905121,0.00206269,0.15039,0.046201,0.0022646,0.0411815,0.383086,6487.96,7291.63,2.02017,1.00023,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
