run,model,parameter,quantity,term,probability_positive,mean,median,ci_low,ci_high
H5_full_age,H5,alpha,latent_slope,age_z,0.35525,-0.08262140814804284,-0.07390544455,-0.5066163082225,0.30568630098499994
H5_full_age,H5,kappa,latent_slope,age_z,0.1625,-0.11733115589773792,-0.11859130405,-0.34787241955750003,0.11773164528249982
H5_full_age,H5,theta,latent_slope,age_z,0.749375,0.2647776526848463,0.26609776255,-0.5035559180675,1.034974188575
H5_full_age,H5,alpha,latent_age_variance_fraction,age,,0.03459936705814867,0.015677930040386555,3.367173455666709e-05,0.17327490046383598
H5_full_age,H5,kappa,latent_age_variance_fraction,age,,0.016397843490931967,0.00939889759761528,2.349547279046679e-05,0.06968893555071301
H5_full_age,H5,theta,latent_age_variance_fraction,age,,0.008920072362893681,0.004334467852897886,1.047588830519317e-05,0.0411620094791819
H5_full_age,H5,alpha,natural_change_25_to_75,age,0.35525,-0.011094134769528764,-0.012728065708585607,-0.07560870380251922,0.06389215765424267
H5_full_age,H5,kappa,natural_change_25_to_75,age,0.1625,-0.07675817223460726,-0.07933212901456624,-0.22800499050650214,0.08426853937877771
H5_full_age,H5,theta,natural_change_25_to_75,age,0.749375,0.7733277135202918,0.7770023119668399,-1.4671734991734497,3.0192207811726606
H5_full_age,H5,friend_value_probability_effect,natural_change_25_to_75,age,0.215875,-0.05195705643573238,-0.050936359667966474,-0.18427048305923505,0.07575659342219632
