condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
positive,1,hierarchical,participant,alpha,111.0,0.10322807595233102,0.008134233289693964,0.6430695782951311,0.5705949455949456,,0.990990990990991,,,,,,
positive,1,MLE_theta10,participant,alpha,111.0,0.2359102638643618,0.03844357638559003,0.4158868347745206,0.42597029182009943,,,,,,,,
positive,1,hierarchical,participant,kappa,111.0,0.15068579396239765,-0.027192739393555352,0.8771846828686145,0.7095559845559845,,0.9369369369369369,,,,,,
positive,1,MLE_theta10,participant,kappa,111.0,0.31849789238712745,0.06782912720557209,0.7544419133772367,0.6034573534573534,,,,,,,,
positive,1,hierarchical,participant,theta,111.0,0.6036365224954389,0.131640555743955,0.6607989687206959,0.6895401895401896,0.0,0.9459459459459459,,,,,,
positive,1,MLE_theta10,participant,theta,111.0,2.3406395852656607,0.7268246944332085,0.42145426144560993,0.559140556856777,0.06306306306306306,,,,,,,
positive,1,hierarchical,participant,friend_value_probability_effect,111.0,0.082012042761788,-0.00047396494423119313,0.8514041245285748,0.8112846612846614,,0.954954954954955,,,,,,
positive,1,MLE_theta10,participant,friend_value_probability_effect,111.0,0.10961456214086024,0.03650701868234529,0.807218724777348,0.7645902502728558,,,,,,,,
positive,1,hierarchical,population,mu_alpha,,,-0.004138205273874984,,,,1.0,-1.0,0.0,-1.004138205273875,-1.002673286,-1.323383455225,-0.6953996994075
positive,1,hierarchical,population,mu_kappa,,,-0.01579293594954989,,,,1.0,-1.2,0.0,-1.2157929359495498,-1.2111647305,-1.4269656987750001,-1.0272129415
positive,1,hierarchical,population,mu_theta,,,0.136189985827325,,,,1.0,1.0,1.0,1.136189985827325,1.1295321805,0.7962000380125,1.5141990289999998
positive,1,hierarchical,population,tau_alpha,,,0.31190930329251243,,,,0.0,0.65,1.0,0.9619093032925125,0.9530817093999999,0.7019853577775,1.2671494011499997
positive,1,hierarchical,population,tau_kappa,,,0.05340485818742491,,,,1.0,0.65,1.0,0.7034048581874249,0.6998996708,0.5383355548025,0.89142926717
positive,1,hierarchical,population,tau_theta,,,0.002732777818099885,,,,1.0,1.0,1.0,1.0027327778180999,0.9920306866499999,0.700318819815,1.3595575550249999
positive,1,hierarchical,population,beta_alpha,,,-0.00950349324262208,,,,1.0,0.0,0.47325,-0.00950349324262208,-0.008825236859999998,-0.2705874370825,0.2536612546524995
positive,1,hierarchical,population,beta_kappa,,,0.023534421496876994,,,,1.0,0.0,0.60675,0.023534421496876994,0.02351123382,-0.150532660755,0.19674329925749995
positive,1,hierarchical,population,beta_theta,,,0.016228558736200216,,,,1.0,0.35,0.9915,0.3662285587362002,0.36393790930000003,0.065943856883,0.6797672310875
positive,1,hierarchical,population,friend_probability_change_25_to_75,,,0.018630678762046465,,,,1.0,0.11285486504425629,,0.13148554380630276,0.13167192055738308,0.027113959738533543,0.23831160337462365
